N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
1,RUE SAINT JEAN,3,,,
4,RUE LAINERIE,3,,,
10,PLACE SAINT PAUL,3,,,
9,RUE SAINT JEAN,3,,,
11,QUAI ROMAIN ROLLAND,3,,,
10,QUAI ROMAIN ROLLAND,3,,,
4,PLACE DU CHANGE,3,,,
2,PLACE SAINT PAUL,3,,,
1,PLACE SAINT PAUL,3,,,
10,QUAI DE BONDY,3,,,
12,RUE LAINERIE,3,,,
8,RUE LAINERIE,3,,,
2,QUAI DE BONDY,3,,,
22,QUAI DE BONDY,2,,,
1,RUE DOCTEUR AUGROS,2,,,
1,PLACE ENNEMOND FOUSSERET,2,,,
4,RUE JUIVERIE,2,,,
9,RUE SAINT NICOLAS,2,,,
9,RUE DOCTEUR AUGROS,1,,,
4,MONTEE DU CHANGE,1,,,
13,RUE LAINERIE,1,,,
7,RUE JUIVERIE,1,,,
11,RUE JUIVERIE,1,,,
5,RUE SAINT JEAN,1,,,
6,QUAI DE BONDY,1,,,
1,QUAI ROMAIN ROLLAND,1,,,
5,RUE JUIVERIE,1,,,
19,PLACE SAINT PAUL,1,,,
6,MONTEE DU CHANGE,1,,,
8,RUE OCTAVIO MEY,1,,,
3,RUE JUIVERIE,1,,,
15,RUE LAINERIE,1,,,
1,RUE LAINERIE,1,,,
4,PLACE SAINT PAUL,1,,,
4,QUAI ROMAIN ROLLAND,1,,,
